galaxy,tier,age_confidence,morphology_bin,t50_gyr,g98,beta_eff,chi2nu_configg,chi2nu_mond,chi2nu_nfw,rho,phi_last,n_points,vmax_obs_kms,r_knee_kpc,g_outer,chimera_flag
UGC 02455,T2,HIGH,DWARF,5.5,4194.311578543046,1.5171083329412718,11.826754740056264,8.797339316203686,0.0700513948443485,0.3042771743431747,0.7625008917927838,8,61.0,3.517102220252053,1276.2332754342433,False
UGC 03580,T2,HIGH,BULGE-DOM,7.0,26258.132284910487,-0.3378310317995441,3.294627984475257,5.461492929176215,0.0886453544123416,0.0047543357795781,0.3552391737230249,47,131.0,6.008691537682365,124.839977827051,True
NGC 4559,T2,HIGH,SPIRAL,6.3,4705.529777747624,1.2652017493338308,2.432208516017364,4.401254515483222,0.013067300820777,0.0700442395848713,0.3444313548099286,32,124.0,7.964594851874727,329.59525512637106,False
NGC 4013,T3,MEDIUM,BULGE-DOM,9.0,8175.220068425574,0.2500413647251415,3.743554740914214,6.837151819182252,0.0615058601648773,0.0468629904011152,0.6318234021368794,36,198.0,15.691544888819807,383.1152595936794,False
NGC 3198,T2,MEDIUM,SPIRAL,7.0,9123.535924999986,0.4002353340380166,2.8355146563356284,3.028952415924545,0.0997699276243413,0.0151353685269379,0.2644226553558475,43,157.0,10.657544952234398,138.08807849364794,True
UGC 11557,T2,MEDIUM,SPIRAL,7.8,2223.4532904911184,1.7673014126607565,7.923148952557358,6.963239757409599,0.129965342750114,0.3138474058944744,0.8704761350645067,12,85.0,5.454875728983585,697.8250473484848,False
NGC 4010,T2,MEDIUM,SPIRAL,6.0,2686.3247573464696,1.824933457287913,4.105246828766993,2.732911807421356,0.1103115198413877,0.3298521156332412,0.7998521420322766,12,129.0,6.704658362269055,886.0899044890162,False
NGC 2903,T2,MEDIUM,GIANT,6.2,84575.03018749978,-0.3989009832770978,5.127903090786777,12.359508499981413,0.65119446173762,0.0072237692312591,0.8006775539205013,34,216.0,15.67660603446122,610.9505008012819,True
NGC 7793,T2,PLATINUM,SPIRAL,6.5,6428.2185064935065,0.8839636816548206,1.0034207786942535,1.066120797371917,0.0913987862549753,0.1074801095004385,0.4498920307437277,46,116.0,5.087330595534696,690.905628970775,False
NGC 3917,T2,HIGH,SPIRAL,7.0,1806.125370585075,1.9969064048508829,3.890766954762229,1.741192484189151,0.0919770110850923,0.3286866477117695,0.9491285750077184,17,138.0,7.8101464364097986,593.6492934051143,False
F571-8,T2,MEDIUM,SPIRAL,8.0,9115.949957586272,0.2591377827808491,5.880932481645193,3.8484850627730975,0.1379646825774501,0.0225725226768055,0.4727450746651961,13,144.0,5.11192705214336,205.76998713826367,False
NGC 3972,T2,HIGH,SPIRAL,7.3,2579.782404597701,1.69923424127539,2.1039998522066785,1.043060093622365,0.049999015080449,0.4198052037455146,0.8393226987893346,10,134.0,7.089731195400722,1083.0060779816513,False
NGC 3769,T2,MEDIUM,SPIRAL,6.0,8402.48132392118,0.6672754442747799,3.0868717094438147,3.736049115131957,0.0295233342134145,0.0101917309360052,0.5588591104959388,12,126.0,7.858671623938408,85.6358288482239,True
NGC 5005,T3,HIGH,BULGE-DOM,9.3,120116.4332244898,-0.3989422802760008,0.2329107855524578,8.093977807416213,0.0249749689478382,0.0547179274231165,0.6820492246270575,18,265.0,11.47,6572.522275501307,False
ESO 079-G014,T2,MEDIUM,SPIRAL,7.2,2292.5264719101124,1.8065037507674455,1.527095200801584,1.43073281838137,0.189047427683657,0.4467329660608583,0.4455215179769046,15,178.0,5.281663128746266,1024.1471505698862,False
NGC 2976,T3,MEDIUM,SPIRAL,10.0,4249.6544376278125,0.8645030876487141,0.5686011558404291,0.8958517916300323,0.028474932206557,0.6548154189812222,0.0527247932356937,27,88.7,0.24,2782.7392511013213,False
UGC 04305,T3,HIGH,DWARF,11.5,709.8628396825396,2.238347802815605,1.1690287493022806,2.851629768778149,0.0491519313610303,0.3734978527612587,0.1085741534569839,22,37.3,1.26,265.1322463768117,False
NGC 4183,T2,MEDIUM,SPIRAL,5.2,1601.2648643678156,2.2291409908597744,0.3309089823101077,1.4736411312439972,0.0135817572675647,0.1110159303523418,0.4054027184464385,23,115.0,1.2897355232650238,177.76590865842056,False
NGC 5585,T2,MEDIUM,SPIRAL,5.0,2857.2943363148484,1.91397146102818,1.0921880672881232,1.0049844313774057,0.0382184728170288,0.0725370009696071,0.493884827854119,24,92.3,1.7306543779862906,207.25956204379565,False
UGC 07089,T2,HIGH,DWARF,5.9,729.0814076912973,2.4659425164391227,1.2972194857346957,1.917905252877525,0.0086792312438328,0.4143531276270729,0.6484736663702233,12,79.1,2.61,302.0971615720524,False
UGC 07151,T2,MEDIUM,DWARF,6.0,1477.7548800000002,2.1989000958483373,0.4630614447190143,0.6810736961915882,0.0216852436201192,0.3801289303255771,0.592557675059914,11,76.2,1.0,561.7373818181818,False
UGC 04499,T2,HIGH,DWARF,5.4,942.117010989011,2.4180898385694545,0.3635656889129131,0.7844526800921848,0.0204772786115992,0.2775530318554121,0.6004827609005557,9,74.3,0.91,261.4874327628362,False
UGC 07323,T2,HIGH,SPIRAL,6.4,1057.262786285714,2.3185091849957464,1.3115347250257994,1.4049494843777008,0.0150993936051773,0.7361932321835293,0.3199748643857228,10,85.6,1.75,778.34970790378,False
