outcome,outcome_label,n_shuffle,real_EP_favorable_bins,real_mean_bin_median_diff_young_minus_old,real_sum_bin_median_diff_young_minus_old,shuffle_p_count_ge_real,shuffle_p_mean_diff_ge_real,shuffle_p_joint_count_and_mean_ge_real,shuffle_count_mean,shuffle_count_sd,shuffle_mean_diff_mean,shuffle_mean_diff_sd,shuffle_mean_diff_95_lo,shuffle_mean_diff_95_hi,mass_adjusted_median_young,mass_adjusted_median_old,mass_adjusted_median_diff_young_minus_old,diff_bootstrap95_lo,diff_bootstrap95_hi,n_pairs,young_wins,young_win_fraction,binomial_p_greater_0p5,shuffle_p_win_fraction_ge_real
DML_mfl_int,DML intrinsic SPS,5000,6,0.0606433441138164,0.4851467529105318,0.1485702859428114,0.0001999600079984,0.0001999600079984,4.0134,1.4177526034146075,2.503409531355315e-05,0.0103671485025743,-0.0203515517151501,0.0205414669326151,0.0757515471061161,-0.0014891865167847,0.0772407336229009,0.0561809145574281,0.0958904867945746,1488,881,0.5920698924731183,6.379736622543504e-13,0.0001999600079984
DML_mfl_obs,DML observed SPS,5000,8,0.0741693369042692,0.593354695234154,0.0055988802239552,0.0001999600079984,0.0001999600079984,4.0172,1.4087232021273883,0.0001480601911809,0.0083867491236033,-0.0165303961907129,0.0159882626370991,0.054458797818158,-0.0124403784154204,0.0668991762335784,0.0498353341492242,0.0827721129126852,1488,913,0.6135752688172043,8.6314544467305455e-19,0.0001999600079984
