outcome,outcome_label,N_total,N_bins,N_per_bin,N_young_per_bin,N_old_per_bin,young_gt_old_bins,old_gt_young_bins,source_side_favorable_bins,source_side_favorable_rule,equal_bin_mean_diff_young_minus_old,equal_bin_mean_boot95_lo,equal_bin_mean_boot95_hi,sum_of_8_bin_diffs,sum_boot95_lo,sum_boot95_hi,mass_adjusted_young_median,mass_adjusted_young_boot95_lo,mass_adjusted_young_boot95_hi,mass_adjusted_old_median,mass_adjusted_old_boot95_lo,mass_adjusted_old_boot95_hi,mass_adjusted_diff_young_minus_old,mass_adjusted_diff_boot95_lo,mass_adjusted_diff_boot95_hi,p_directional_count,p_directional_sumdiff,p_joint_directional_count_and_sumdiff
mfl_cyl_log_ML_dyn,JAM dynamical log(M/L),5952,8,744,186,186,0,8,0,young_gt_old,-0.10450000000000005,-0.12075156249999999,-0.08974843750000001,-0.8360000000000004,-0.9660124999999999,-0.7179875000000001,-0.05249999999999999,-0.0615,-0.040000000000000036,0.05499999999999999,0.04600000000000004,0.06300000000000006,-0.10749999999999998,-0.11999999999999988,-0.09199999999999997,1.0,1.0,1.0
sp_ML_int_Re,SPS intrinsic log(M*/L),5952,8,744,186,186,0,8,8,old_gt_young,-0.1518616614320509,-0.16687053562764723,-0.13199933148142173,-1.2148932914564072,-1.3349642850211778,-1.0559946518513739,-0.10706412043457528,-0.11533751333424429,-0.099116438964864,0.062277897199628424,0.055811464372076514,0.06873960142617075,-0.1693420176342037,-0.17903750826239392,-0.15871104895372815,0.005198960207958408,0.0001999600079984003,0.0001999600079984003
sp_ML_obs_Re,SPS observed log(M*/L),5952,8,744,186,186,0,8,8,old_gt_young,-0.15789012704454855,-0.17332608695245935,-0.1447601534491192,-1.2631210163563884,-1.3866086956196748,-1.1580812275929535,-0.09377803221567699,-0.10357508344277444,-0.08757119618581033,0.06308824675501323,0.05614339518374156,0.06928160502200004,-0.15686627897069022,-0.167934163529324,-0.14776653352865107,0.005198960207958408,0.0001999600079984003,0.0001999600079984003
