t50_Gyr,psi,beta,N_points,chi2,chi2_reduced,pass_fail,median_abs_residual_kms,mean_abs_residual_kms,rms_residual_kms,mean_signed_residual_kms,median_signed_residual_kms,max_abs_residual_kms,fraction_model_under_observed,outer_chi2_fraction,outer_mean_residual_kms,max_required_beta_gate_open,max_required_beta_actual_gate,age_lane,central_t50_Gyr,bound
4.8,0.2730518166889695,1.991977337165801,58,170.86467868147315,2.945942735887468,PASS / non-catastrophic,28.711501313141547,30.885709828426293,37.36675801816681,-26.135004140992454,-28.711501313141547,73.38541998965341,0.7586206896551724,0.8606691699734419,-49.99527135709539,9.272813883806771,15.686531092564536,Primary/source-native mass-weighted,6.0,minus_1sigma
7.2,0.4095777250334542,1.6868570648889323,58,192.0532376872223,3.311262718745212,PASS / non-catastrophic,31.519888000686123,32.47237522864358,39.49847885827167,-29.440544236854606,-31.519888000686123,76.03468150708672,0.8103448275862069,0.8628945695410966,-53.17534930232815,9.272813883806771,15.686531092564536,Primary/source-native mass-weighted,6.0,plus_1sigma
5.8,0.32993761183250475,1.8597641511991592,58,179.5346011251362,3.0954241573299344,PASS / non-catastrophic,29.70136997519652,31.52411297343924,38.25693233941541,-27.54938801014093,-29.70136997519652,74.51936701762187,0.7758620689655172,0.8626888005727548,-51.35567004123585,9.272813883806771,15.686531092564536,Conservative older-weighted bracket,7.1,minus_1sigma
8.4,0.47784067920569656,1.5492252575754222,58,203.03959760129223,3.500682717263659,PASS / non-catastrophic,33.06525260681087,33.48145239938119,40.55032092633133,-30.98178309815128,-33.06525260681087,77.26879137736135,0.8620689655172413,0.8612853558096772,-54.65893016754887,9.272813883806771,15.686531092564536,Conservative older-weighted bracket,7.1,plus_1sigma
