band,N,chi2_sum,chi2_reduced,chi2_fraction,mean_residual_kms,median_abs_residual_kms,age_lane,t50_Gyr
inner_0_3_kpc,15,3.9270514011115973,0.26180342674077317,0.0216607045764098,6.140425070275014,8.550243333010613,Primary/source-native mass-weighted,6.0
mid_3_10_kpc,16,20.93135946116199,1.3082099663226243,0.1154525233722516,-19.51381846081652,24.795673330781746,Primary/source-native mass-weighted,6.0
outer_gt_10_kpc,27,156.44000384342638,5.7940742164231995,0.8628867720513386,-51.62161771665222,54.82646297538052,Primary/source-native mass-weighted,6.0
inner_0_3_kpc,15,3.182111654527073,0.21214077696847153,0.016647459151892214,4.558068270175781,6.818585664332076,Conservative older-weighted bracket,7.1
mid_3_10_kpc,16,23.01211389047785,1.4382571181548656,0.1203896241181257,-20.998201723082488,26.230907309792933,Conservative older-weighted bracket,7.1
outer_gt_10_kpc,27,164.9527612409865,6.109361527443944,0.862962916729982,-53.04858465895725,55.8739953946797,Conservative older-weighted bracket,7.1
