r_Mpc,M_Msun,M_stat_err_Msun,M_syst_err_up_Msun,M_syst_err_down_Msun,M2hsub_Msun,M2hsub_stat_err_Msun,M2hsub_syst_err_up_Msun,M2hsub_syst_err_down_Msun,ρ_Msun_Mpc3,ρ_stat_err_Msun_Mpc3,ρ_syst_err_up_Msun_Mpc3,ρ_syst_err_down_Msun_Mpc3
0.22960751184440492,1.1227281655822962e14,1.8720702928201535e13,2.286270156879314e12,4.615557710655169e12,1.116680982902158e14,1.8720524535500668e13,2.32070428069314e12,4.649454451858002e12,1.398927593092315e15,7.604520819258719e14,4.364088197661525e13,6.9504245349674e13
0.30614652831658856,1.933066254091373e14,2.669629312955569e13,3.7331891693389814e12,7.763609596342096e12,1.9234545236466534e14,2.6693142118668734e13,3.794077250999361e12,7.824395704844526e12,1.0064984062036364e15,2.965290447376332e14,3.5598443251563875e13,5.4819989696423625e13
0.4082581596476097,3.2839582867580625e14,4.200940529187935e13,8.98326553098349e12,1.5864299620864291e13,3.263519992484222e14,4.199546097003047e13,9.179553085308695e12,1.6060920699969025e13,7.178575076311242e14,1.7814126496413656e14,3.9441590817558375e13,5.40953791975235e13
0.5443831590179506,5.081522741912382e14,6.348200803632345e13,1.1399605224034877e13,2.2014561113336254e13,5.0436935911512225e14,6.343894523724299e13,1.1786173168601643e13,2.2404518169069074e13,2.2747256157185422e14,1.1319317943576373e14,4.520412747672756e13,5.1867110953671625e13
0.7259308448183265,6.233517178706582e14,8.473722035449589e13,2.0539016566678973e13,3.2962219711518277e13,6.162276606068938e14,8.460911513877942e13,2.110255336289217e13,3.353819303215398e13,1.0524052413003917e14,5.886171048107835e13,3.450274699959392e13,3.5713441736988016e13
0.9680301913232382,8.510716179361526e14,1.0589010585782025e14,8.158916560596334e12,2.517093564278399e13,8.37581097159725e14,1.0544714380940373e14,9.34982922025348e12,2.6398967875649363e13,9.691697202387788e13,3.2144564828943438e13,4.307372656147078e12,5.694529230052891e12
1.2908531645372243,1.2068167103002335e15,1.4821985485459038e14,2.6541946362596567e12,2.3028474863575508e13,1.1821343619734992e15,1.468706784786155e14,3.029715199750494e12,2.6402955733234645e13,4.5086137611130945e13,1.849965143890575e13,4.3162191297320156e12,5.45568107607675e12
1.7213314833499356,1.5241301933241522e15,2.0860818868664034e14,2.3848210546750797e13,5.901137759358505e13,1.479789072485625e15,2.0427624773725597e14,1.6800562015075934e13,5.222389219211938e13,1.3913710557294422e13,1.0822918539552938e13,4.3954851088337695e12,4.933051913255594e12
2.295338341453569,1.823688089001229e15,3.261891880771605e14,1.3634159682093317e14,1.8726866481396966e14,1.747680873329124e15,3.147912831547136e14,1.213959566811196e14,1.7291312932327144e14,8.91058470323564e12,7.103425411052903e12,6.01556591347274e12,6.587231408940774e12
3.0608000370508943,2.3799788859066895e15,6.216076549906792e14,3.68128776314979e14,4.78898385222392e14,2.2612288899942715e15,6.070658120811226e14,3.38344728993076e14,4.4970471629393994e14,6.717317685847511e12,1.7848542706870576e12,4.929260609724384e12,6.717317640266422e12
