r_Mpc,M_Msun,M_stat_err_Msun,M_syst_err_up_Msun,M_syst_err_down_Msun,M2hsub_Msun,M2hsub_stat_err_Msun,M2hsub_syst_err_up_Msun,M2hsub_syst_err_down_Msun,ρ_Msun_Mpc3,ρ_stat_err_Msun_Mpc3,ρ_syst_err_up_Msun_Mpc3,ρ_syst_err_down_Msun_Mpc3
0.3169472957811839,1.8267540839900134e14,6.471892599716472e13,2.5239136283839895e13,3.4013868591930188e13,1.812533631039955e14,6.472345902997787e13,2.532163850008595e13,3.4046571575301117e13,-1.8382494720153342e15,1.3884382176480432e15,9.754395361086304e14,9.377568849668961e14
0.42260078288943353,1.1568441617512236e14,5.262480872613964e13,9.62883611427426e12,1.4626109084816453e13,1.1278303333657608e14,5.261590449644305e13,9.803913142074094e12,1.4699923467116795e13,3.8259857263073175e14,2.4277545255398928e14,1.7207638753980188e14,1.8114162260666012e14
0.563554383049101,3.012370485998849e14,8.859941162780256e13,1.7932030745784402e13,3.1186293026648113e13,2.9577289720255706e14,8.857516900754888e13,1.8277079739746164e13,3.1341824442083996e13,2.8599430258623644e14,1.4647701495132447e14,9.554317596703825e13,1.021898489248601e14
0.7514596048428986,4.748389368448085e14,1.1863219902528839e14,1.2824750703436205e13,3.3461764833277992e13,4.645113095917144e14,1.1849179334484198e14,1.3548389533082357e13,3.382989994941896e13,1.579995321103648e14,7.737949648152653e13,2.5374469948924875e13,2.89426428408715e13
1.0020657266005972,8.031577301112034e14,1.4661281245068484e14,2.5494077350679305e13,5.9265355440313305e13,7.836424936441609e14,1.459429857278537e14,2.6965150892932504e13,6.007072673199578e13,1.0380966051284919e14,4.65764722416571e13,1.6847348817406125e13,1.933999035733283e13
1.3362565924339507,1.0903952151513478e15,2.097128766301057e14,1.942348133431224e13,6.137648405891835e13,1.0543265502914899e15,2.0696018446677734e14,2.2547074170540137e13,6.328389860756569e13,5.184585174380399e12,2.653878302800602e13,2.1560283051285205e12,2.3940236859140596e12
1.781877328246596,1.2514801016355052e15,2.8498645485965275e14,3.794540500353274e13,6.380115047440781e13,1.185799927564378e15,2.7453157524732212e14,3.799567938321644e13,5.731568632622125e13,3.242570300201347e13,1.405920286201975e13,1.0260958608689863e13,1.1145935570461082e13
2.376104137047948,2.114402004873423e15,3.9928530478123756e14,3.557267394142518e13,9.558379558739678e13,1.9985219398627198e15,3.715770527033329e14,2.5297059433784402e13,8.149300189574716e13,8.713805127279299e12,8.433489787223667e12,7.107458967386508e12,7.491395722080579e12
3.168455920203398,2.4928823953573115e15,6.326396500802352e14,4.120717524904998e14,4.958102374487063e14,2.297301337497854e15,6.043421749323112e14,3.878393517568102e14,4.650535826307175e14,7.002165595656223e12,5.331862286157484e12,8.435167454936811e12,8.869157495621215e12
4.225089531598738,4.1938159701393495e15,1.2165030245496132e15,6.267961683613404e14,8.369262502198636e14,3.8919302473198925e15,1.1874534542893648e15,5.646147050354815e14,7.621899159139069e14,4.509512341832536e12,1.3336151206929565e12,3.2747628077384727e12,3.0216294293752686e11
