r_Mpc,M_Msun,M_stat_err_Msun,M_syst_err_up_Msun,M_syst_err_down_Msun,M2hsub_Msun,M2hsub_stat_err_Msun,M2hsub_syst_err_up_Msun,M2hsub_syst_err_down_Msun,ρ_Msun_Mpc3,ρ_stat_err_Msun_Mpc3,ρ_syst_err_up_Msun_Mpc3,ρ_syst_err_down_Msun_Mpc3
0.369361794412882,4.997474448455522e14,1.1884526359240878e14,2.5932572374594883e13,4.6324009597786336e13,4.9660918674823206e14,1.1887838398341575e14,2.5964605934000664e13,4.6280538726433734e13,4.545942173201947e14,1.577563914377566e15,5.243125901868761e14,5.4383743244610944e14
0.4924875068064759,6.995728091198415e14,1.3507199978605556e14,2.1112974691632508e13,4.7642477777922375e13,6.9394513114562e14,1.3511775438579878e14,2.1193911685344402e13,4.758826695680355e13,8.491962116425341e14,4.691676086978411e14,9.582791451169862e13,1.1281054260362338e14
0.6567510148941871,1.0850041772850621e15,2.5557981172622056e14,4.547409249514144e13,8.013380843277366e13,1.0739127086237401e15,2.5560804587335438e14,4.612873471599674e13,8.052244986865714e13,1.720942196066553e14,2.102547976249696e14,9.800656997279516e13,1.0494128631569453e14
0.8757306712128954,1.1128646613112866e15,2.1277039993149544e14,6.551667429834592e13,1.0341671746710611e14,1.0919248392046952e15,2.1259023230269634e14,6.6002702825009945e13,1.0340144341598573e14,3.1434059860699266e13,1.2254882812555838e14,6.640018509861425e13,6.706193384185956e13
1.1677802581801302,1.379474796257828e15,3.321935907525821e14,3.835405966667763e13,8.511830685536431e13,1.3399684769405602e15,3.312531827510247e14,3.953909659507366e13,8.535889966309714e13,7.456728614085952e13,6.2869910580742336e13,7.837612314798625e12,9.93022944591911e12
1.5572372421129466,1.9107231710172238e15,4.55468920896465e14,2.8293648176884543e13,8.853746792739655e13,1.8379999134804232e15,4.5123587344328944e14,3.1181981386753145e13,8.968761989803719e13,4.51429404512605e13,3.4482427092067395e13,1.6940563567352578e12,2.826743395423039e12
2.0765515785917215,2.5491991129305355e15,5.86091717238367e14,1.31980698927561e13,7.869972208551558e13,2.418358418172908e15,5.688025497142499e14,1.0506775580308365e13,8.261415000828533e13,1.8133108064869996e13,1.936367844041532e13,2.4920764203606562e12,3.2113628742405312e12
2.769047407736252,2.9267901891836035e15,8.080626504997284e14,1.861262393884542e14,2.903408889382457e14,2.6978124324633895e15,7.73749489839284e14,1.6493034721300322e14,2.6353739767020712e14,-4.048206762445952e12,1.1557693467650852e13,4.858240792684027e12,4.975726205391316e12
3.6924327160450363,3.3409517408794705e15,1.2581195161544575e15,7.66381156488934e14,9.149895198577921e14,2.9582262741420845e15,1.2271530634788152e15,7.168715751275918e14,8.553818346226115e14,1.0299586552667955e13,6.627848183639129e12,9.991508475412807e12,1.062663069936158e13
4.923804909267315,7.083521591509233e15,2.3666686509249735e15,9.605222384816728e14,1.3820427652725902e15,6.496590271055578e15,2.3363340694192435e15,8.607763941537344e14,1.2599341601983212e15,4.839330236141671e12,1.6580192616575771e12,3.416280702928794e12,4.839330218486588e12
