model,radial_zone,N,chi2,reduced_chi2_zone,fraction_total_chi2_percent,mean_residual_model_minus_obs_kms,median_abs_deltaV_kms,rms_residual_kms,max_abs_deltaV_kms
Hermes primary t50=6.0,inner_0_3_kpc,15,3.9270514011115973,0.26180342674077317,2.16607045764098,6.140425070275014,8.550243333010613,10.185206896444083,16.29014549647742
Hermes primary t50=6.0,mid_3_10_kpc,16,20.93135946116199,1.3082099663226243,11.54525233722516,-19.51381846081652,24.795673330781746,22.619750118082468,32.34869007289619
Hermes primary t50=6.0,outer_gt10_kpc,27,156.44000384342638,5.7940742164231995,86.28867720513387,-51.62161771665222,54.82646297538052,53.032940094133615,74.74093827756408
Hermes conservative t50=7.1,inner_0_3_kpc,15,3.1821116545270725,0.2121407769684715,1.664745915189221,4.558068270175781,6.818585664332076,9.166537317497838,14.535805934190256
Hermes conservative t50=7.1,mid_3_10_kpc,16,23.01211389047785,1.4382571181548656,12.03896241181257,-20.998201723082488,26.230907309792933,23.718680568908034,33.119521571862904
Hermes conservative t50=7.1,outer_gt10_kpc,27,164.9527612409865,6.109361527443944,86.2962916729982,-53.04858465895725,55.8739953946797,54.37249031311415,75.92917646835807
MOND fixed simple,inner_0_3_kpc,15,0.32968781288977805,0.021979187525985204,4.785521744301747,-0.055360813987601884,2.316367179529948,2.998170687860938,7.3889962603705825
MOND fixed simple,mid_3_10_kpc,16,0.404732820990621,0.025295801311913814,5.874823514118606,0.9533140474707809,2.89613809859582,3.1430359064054496,5.369998990940445
MOND fixed simple,outer_gt10_kpc,27,6.154855614469042,0.22795761535070527,89.33965474157966,-9.393901214694315,8.552736716620132,10.745673088697428,23.916352449791745
