model,age_lane,t50_Gyr,N,chi2,reduced_chi2,median_abs_deltaV_kms,mean_residual_model_minus_obs_kms,rms_residual_kms,median_abs_fractional_residual,outer_gt10_chi2_fraction_percent,outer_gt10_mean_residual_kms,classification_chi2nu_lt5
Hermes,primary/source-native mass-weighted,6.0,58,181.29841470569997,3.1258347363051717,29.897525516483363,-27.825834442561185,38.43485979776367,0.28432939549623126,86.28867720513387,-51.62161771665222,PASS / non-catastrophic
Hermes,conservative older-weighted bracket,7.1,58,191.14698678599143,3.295637703206749,31.387672282474732,-29.308827401871184,39.4102039122979,0.2775572766018583,86.2962916729982,-53.04858465895725,PASS / non-catastrophic
MOND fixed simple,not age-dependent,N/A,58,6.88927624834944,0.11878062497154207,3.687272460855233,-4.124357245638415,7.668307416685122,0.038659001921570665,89.33965474157966,-9.393901214694315,PASS / non-catastrophic
