board,nodes,H1_chi2,H1_K,MOND_chi2,MOND_K
A611,8,3.2457484514327453,5.271955138339252,8.35690885394719,2.4907455382575927
MACSJ0429,7,9.262037092668843,4.239855912047527,13.096698614282623,1.9036898455677393
MACSJ1720,7,2.8547272070715213,5.245709014734831,13.158700779615593,2.397025731772317
RXJ2129-PARTIAL,5,1.5285244142578496,2.8883843531090685,0.06225873533431814,1.4181854642070426
A2261,9,31.35648329043193,5.370097292168997,45.48443542395371,2.4266982365636673
MACSJ1115,8,19.150280355059227,3.182737767990566,8.81483917617386,2.1700606406671143
MACSJ1206,7,3.7339193479657298,3.2082711365633374,12.81350652930483,1.8979477838320584
MACSJ0744,6,8.920989130302887,4.709995942173893,15.686482245587984,3.138319340172056
