control_set,age_T50_coef_raw_outcome_per_1sd_T50,age_T50_robust_se,age_T50_robust_p,model_R2
strict_intSPS_MW_Eps_logSigma,-0.02672537357062964,0.0032784190487535683,3.582239854758157e-16,0.4258399184192766
strict_obsSPS_MW_Eps_logSigma,-0.040396522556400326,0.00343416728517541,6.045796204041374e-32,0.4559926204584981
strict_bothSPS_MW_Eps_logSigma,-0.041611597250028845,0.0035904815617422785,4.662816178346969e-31,0.45611622068114677
