control_set,N,young_gt_old_bins,total_bins,equal_bin_mean_diff_young_minus_old,equal_bin_mean_boot95_lo,equal_bin_mean_boot95_hi,sum_of_8_bin_diffs,mass_adjusted_diff_young_minus_old,mass_adjusted_diff_boot95_lo,mass_adjusted_diff_boot95_hi,mass_adjusted_young_median,mass_adjusted_old_median,shuffle_p_count_ge_real,shuffle_p_sum_ge_real,shuffle_p_joint_count_and_sum_ge_real,shuffle_count_mean,shuffle_count_sd,shuffle_sum_mean,shuffle_sum_sd
strict_intSPS_MW_Eps_logSigma,5952,7,8,0.02377658836500737,0.013183102712771141,0.033659066631425844,0.19021270692005895,0.022474089647612383,0.011385927354241888,0.03420382377205813,0.01397305739166732,-0.008501032255945062,0.03679264147170566,0.0001999600079984003,0.0001999600079984003,3.9944,1.4127872570088935,0.00038707468712588066,0.043816093554975837
strict_obsSPS_MW_Eps_logSigma,5952,7,8,0.03930118155709866,0.0290003060689012,0.049816013175865974,0.3144094524567893,0.03866119582596686,0.029160018746598248,0.04944017313262029,0.024423732698925754,-0.014237463127041106,0.03119376124775045,0.0001999600079984003,0.0001999600079984003,3.9284,1.3995946602651101,-0.0027045879128361817,0.04270013795566643
strict_bothSPS_MW_Eps_logSigma,5952,7,8,0.03467247654014065,0.023616094855234797,0.04514000461906922,0.2773798123211252,0.034396800270352634,0.023085066079427133,0.0442490536263203,0.021885420234932812,-0.012511380035419822,0.033993201359728054,0.0001999600079984003,0.0001999600079984003,3.9904,1.3965306654634964,-0.0008264853810150006,0.04125971579583837
