control_set,mass_bin,N_bin,N_young,N_old,logM_min,logM_max,logM_median,T50_young_median,T50_old_median,young_resid_median,old_resid_median,median_diff_young_minus_old,bootstrap95_lo,bootstrap95_hi,young_gt_old
strict_intSPS_MW_Eps_logSigma,0,744,186,186,7.2690480470812675,9.57187557818932,9.368333998574403,4.256060606060606,12.84848484848485,0.05083396594249001,0.009520295352718422,0.04131367058977159,0.012732973753315977,0.06682115211022088,True
strict_intSPS_MW_Eps_logSigma,1,744,186,186,9.572109176187029,9.876393948254378,9.730605687711488,5.3,12.84848484848485,0.02481891841211903,-0.02157389390739428,0.04639281231951331,0.00968627684504059,0.0704044672508983,True
strict_intSPS_MW_Eps_logSigma,2,744,186,186,9.876556712154152,10.113963396204992,10.001280290889355,5.781818181818182,12.84848484848485,-0.012637112926269983,-0.037171929672817794,0.02453481674654781,-0.0061972939655649956,0.062412389417831296,True
strict_intSPS_MW_Eps_logSigma,3,744,186,186,10.114360742518592,10.331143748371574,10.220859591209013,6.103030303030304,12.84848484848485,-0.01460743924149599,-0.026547829880358864,0.011940390638862874,-0.014525738518475648,0.03491232843237166,True
strict_intSPS_MW_Eps_logSigma,4,744,186,186,10.331234868527272,10.550953203110057,10.441637799024381,5.621212121212121,12.84848484848485,-0.02266591836748072,-0.04491477845069686,0.022248860083216138,-0.010215306801757074,0.04745325829736732,True
strict_intSPS_MW_Eps_logSigma,5,744,186,186,10.55098617762266,10.767844252325547,10.6629158616527,6.103030303030304,12.84848484848485,-0.032221204565958006,-0.014089685124504203,-0.018131519441453803,-0.04762870255514272,0.005716138480671313,False
strict_intSPS_MW_Eps_logSigma,6,744,186,186,10.768300670614613,10.994345312695708,10.88221162955605,6.103030303030304,13.00909090909091,0.006309134021177221,-0.007448484220144824,0.013757618241322045,-0.008554277369508938,0.05142037963890288,True
strict_intSPS_MW_Eps_logSigma,7,744,186,186,10.994807931634906,12.411587721858544,11.13896222555301,6.745454545454546,12.84848484848485,0.06525889120490325,0.017102833462624256,0.04815605774227899,0.02217186444798703,0.07515729463957413,True
strict_obsSPS_MW_Eps_logSigma,0,744,186,186,7.2690480470812675,9.57187557818932,9.368333998574403,4.256060606060606,12.84848484848485,0.07303275853166807,0.008084718336696717,0.06494804019497136,0.03606672052366761,0.10245993061240699,True
strict_obsSPS_MW_Eps_logSigma,1,744,186,186,9.572109176187029,9.876393948254378,9.730605687711488,5.3,12.84848484848485,0.037130082553898935,-0.02717940419723852,0.06430948675113746,0.03037053223401449,0.09410941500613289,True
strict_obsSPS_MW_Eps_logSigma,2,744,186,186,9.876556712154152,10.113963396204992,10.001280290889355,5.781818181818182,12.84848484848485,-0.0017282244919359369,-0.046409002683808764,0.04468077819187283,0.016597177629967656,0.07643240183338045,True
