control_set,N,young_gt_old_bins,total_bins,equal_bin_mean_diff_young_minus_old,equal_bin_mean_boot95_lo,equal_bin_mean_boot95_hi,mass_adjusted_diff_young_minus_old,mass_adjusted_diff_boot95_lo,mass_adjusted_diff_boot95_hi,shuffle_p_count_ge_real,shuffle_p_sum_ge_real,shuffle_p_joint_count_and_sum_ge_real
intSPS,5952,7,8,0.0237765883650073,0.0131831027127711,0.0336590666314258,0.0224740896476123,0.0113859273542418,0.0342038237720581,0.0367926414717056,0.0001999600079984,0.0001999600079984
obsSPS,5952,7,8,0.0393011815570986,0.0290003060689012,0.0498160131758659,0.0386611958259668,0.0291600187465982,0.0494401731326202,0.0311937612477504,0.0001999600079984,0.0001999600079984
bothSPS,5952,7,8,0.0346724765401406,0.0236160948552347,0.0451400046190692,0.0343968002703526,0.0230850660794271,0.0442490536263203,0.033993201359728,0.0001999600079984,0.0001999600079984
