Dataset,Radius,Richness_bin,Min_N,N_clusters,chi2,df,chi2_p,N_p05,expected_p05,excess_p05_binom_p,KS_stat,KS_p,N_p01,expected_p01,excess_p01_binom_p
SpArcFiRe×redMaPPer (spec-z gated),3 Mpc,high(>=80),20,6,2.477639751552795,6.0,0.870961692295779,0,0.30000000000000004,1.0,0.4351144948923017,0.15025617908314026,0,0.06,1.0
SpArcFiRe×redMaPPer (spec-z gated),5 Mpc,low(<40),5,755,726.8998707712717,755.0,0.7627251513775837,14,37.75,0.999998007407799,0.3483443708609272,2.230292879833113e-82,4,7.55,0.9436285580154539
SpArcFiRe×redMaPPer (spec-z gated),5 Mpc,low(<40),10,431,417.29510886650985,431.0,0.6733065044881101,9,21.55,0.999384288994473,0.24593967517401394,1.9150903537975498e-23,3,4.3100000000000005,0.8053427249100211
SpArcFiRe×redMaPPer (spec-z gated),5 Mpc,low(<40),20,197,199.85623112918006,197.0,0.42984875319093374,6,9.850000000000001,0.9319857552701872,0.19289340101522845,6.783726193850021e-07,3,1.97,0.3151608688723539
SpArcFiRe×redMaPPer (spec-z gated),5 Mpc,mid(40-<80),5,186,192.5411806052702,186.0,0.3557947203725452,4,9.3,0.984740759677231,0.33870967741935487,1.5297321103105628e-19,1,1.86,0.8457780482061551
SpArcFiRe×redMaPPer (spec-z gated),5 Mpc,mid(40-<80),10,114,129.43483139892098,114.0,0.15313304284168536,4,5.7,0.8270502917592099,0.23684210526315785,4.1372101862164e-06,1,1.1400000000000001,0.6820109361808562
SpArcFiRe×redMaPPer (spec-z gated),5 Mpc,mid(40-<80),20,66,73.84652814730502,66.0,0.23726212402923172,4,3.3000000000000003,0.4213382742706827,0.18181818181818177,0.02213893322525151,1,0.66,0.48486288257619636
SpArcFiRe×redMaPPer (spec-z gated),5 Mpc,high(>=80),5,26,31.292659654459662,26.0,0.21754977930534544,2,1.3,0.3758734604758731,0.29302409979013294,0.0179388979930466,0,0.26,1.0
SpArcFiRe×redMaPPer (spec-z gated),5 Mpc,high(>=80),10,18,22.616469178269185,18.0,0.20576120291946598,2,0.9,0.2264773798445215,0.2777777777777778,0.1015604674994709,0,0.18,1.0
SpArcFiRe×redMaPPer (spec-z gated),5 Mpc,high(>=80),20,10,4.061363276259258,10.0,0.9445363139805971,0,0.5,1.0,0.38466471172869215,0.07683900556764012,0,0.1,1.0
SpArcFiRe×Tempel groups (membership),membership,low(<10),5,560,610.5095238095238,560.0,0.0686516860490799,6,28.0,0.9999999269822686,0.5232142857142856,2.931093933813038e-143,0,5.6000000000000005,1.0
SpArcFiRe×Tempel groups (membership),membership,low(<10),10,0,,,,0,0.0,,,,0,0.0,
SpArcFiRe×Tempel groups (membership),membership,low(<10),20,0,,,,0,0.0,,,,0,0.0,
SpArcFiRe×Tempel groups (membership),membership,mid(10-<30),5,1575,1632.025622090328,1575.0,0.1548426767448699,31,78.75,0.9999999998678202,0.4215873015873016,2.607419199591154e-254,3,15.75,0.9999808611867411
SpArcFiRe×Tempel groups (membership),membership,mid(10-<30),10,236,239.7335585982645,236.0,0.42011283214691,7,11.8,0.9528938505006864,0.3174655720338983,1.1965087668993127e-21,2,2.36,0.6842702269236566
SpArcFiRe×Tempel groups (membership),membership,mid(10-<30),20,0,,,,0,0.0,,,,0,0.0,
SpArcFiRe×Tempel groups (membership),membership,high(>=30),5,376,380.9706061375123,376.0,0.41888216095806924,11,18.8,0.9819417039263303,0.29255319148936165,5.272940067730044e-29,2,3.7600000000000002,0.8903795492035211
SpArcFiRe×Tempel groups (membership),membership,high(>=30),10,350,348.98012994703606,350.0,0.505336795291443,10,17.5,0.982120004695217,0.2828571428571428,2.872772204870532e-25,2,3.5,0.8654358862172856
SpArcFiRe×Tempel groups (membership),membership,high(>=30),20,150,164.15933630998856,150.0,0.2029005937033173,6,7.5,0.7655644954653678,0.19333333333333336,2.1909982715226058e-05,2,1.5,0.4430152017931677
