dataset,cut,min_N,N_galaxies,N_systems_ge_minN,CW_pos,CCW_neg,global_binom_p,chi2,df,chi2_p,N_p05,expected_p05,excess_p05_binom_p,KS_stat,KS_p
redMaPPer,Cut1_dz0.005_R0.5Mpc,5,1334,34,662,672,0.8053733182533562,22.522222222222222,34,0.9339222094196513,0,1.7000000000000002,1.0,0.6470588235294117,2.0358387600893692e-14
redMaPPer,Cut1_dz0.005_R1.0Mpc,5,2529,146,1249,1280,0.5508163346070907,158.00961114908486,146,0.23478471511717677,3,7.300000000000001,0.9787434253811397,0.4657534246575342,1.5405881737370072e-29
redMaPPer,Cut1_dz0.005_R1.5Mpc,5,3482,230,1718,1764,0.44570515236200764,229.92682126065813,230,0.4889593021610402,5,11.5,0.9905998015460901,0.4478260869565217,1.360628746875314e-42
redMaPPer,Cut2_dz0.003_R0.5Mpc,5,874,18,422,452,0.3266243228697,21.161904761904765,18,0.27132360411492173,0,0.9,1.0,0.4444444444444444,0.0009278706581683505
redMaPPer,Cut2_dz0.003_R1.0Mpc,5,1654,78,795,859,0.12133713509332182,94.4996891996892,78,0.09844774081050639,4,3.9000000000000004,0.5513813942269606,0.5128205128205128,1.4499283565917938e-19
redMaPPer,Cut3_dv<=2sigma_R<=R200c,5,2961,179,1445,1516,0.1982923342407282,188.98831817305503,179,0.2899705760012134,6,8.950000000000001,0.8874484540192065,0.45251396648044695,5.435828912944188e-34
Tempel2014_groups,Cut4_groups_5<=Ngal<=20,5,30971,1812,15473,15498,0.8915254027985232,1920.1985569985568,1812,0.0380505155351574,27,90.60000000000001,0.9999999999999997,0.4641280353200883,0.0
Tempel2014_groups,Cut5_groups_Ngal>=30_Rproj<=0.5Mpc,5,2108,186,1041,1067,0.5861019930454405,173.58224201690626,186,0.7336775843248219,4,9.3,0.984740759677231,0.4731182795698925,9.682358482190579e-39
