group,logMHI_N,logMHI_mean,logMHI_median,logMHI_std,logMHI_p16,logMHI_p84,logMHI_min,logMHI_max,W50_N,W50_mean,W50_median,W50_std,W50_p16,W50_p84,W50_min,W50_max,logMHI_Ms_N,logMHI_Ms_mean,logMHI_Ms_median,logMHI_Ms_std,logMHI_Ms_p16,logMHI_Ms_p84,logMHI_Ms_min,logMHI_Ms_max
deep_interior_Rlt0p5,39,9.832307692307692,9.82,0.1797434068545835,9.6308,10.0292,9.44,10.25,39,204.64102564102564,194.0,65.64717782825942,143.6,265.52,71.0,374.0,39,-0.06333333333333353,-0.049999999999998934,0.39934375993183024,-0.4867999999999986,0.3284000000000001,-0.9500000000000011,1.0099999999999998
deep_body_Rlt1,939,9.889818956336526,9.88,0.24395914672188884,9.64,10.14,9.12,10.62,939,216.75399361022363,209.0,104.31023400128554,111.0,323.91999999999996,18.0,700.0,926,-0.12166306695464368,-0.129999999999999,0.48916502369593895,-0.620000000000001,0.3699999999999992,-1.4700000000000006,2.040000000000001
any_void_Rlt1,8128,9.620894438976379,9.7,0.4680397451923182,9.15,10.06,7.63,10.94,8128,195.06926673228347,178.0,107.5856808575614,90.0,300.0,9.0,861.0,7982,-0.07153345026309196,-0.07000000000000028,0.5596765975265693,-0.6300000000000008,0.4599999999999991,-1.9499999999999993,2.8999999999999995
wall_not_in_any_void,23374,9.508372978523145,9.62,0.5974645950536188,9.06,10.03,3.76,10.94,23374,191.24433130829127,172.0,114.13730098801132,80.0,302.3199999999997,10.0,885.0,21587,-0.09821744568490297,-0.10999999999999943,0.6142044412719719,-0.7099999999999995,0.4900000000000002,-2.8200000000000003,3.7200000000000006
