void_id,void_x,void_y,void_z,Reff_hinvMpc,max_sphere_radius_hinvMpc,edge_flag,N_HI_body,N_HI_interior,N_HI_shell_0p75to1p25,N_dark_candidates,N_HIexcess_top5pct_interior,mean_alignment_median_abs_cos_thetaij,N_has_sdss_phot,N_has_ba,N_has_PA
0,-169.04128243715337,162.88440502982797,209.44050219289232,27.855157995779265,22.44170178630279,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-135.96850622649848,52.52855483415867,271.5381732396927,30.611319498762835,22.33532586297633,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-167.61151272053894,95.79192425084427,251.20074343761445,27.94293226185583,21.81441799850421,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-269.4564180052243,-80.6523861970192,134.97718562646713,29.5412336568886,21.760794870176248,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-229.344681491862,110.9750018697348,103.67740814401114,28.694336538652227,21.14483932809129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-202.22935409414103,166.7282459379273,104.2776717919594,28.490050115582303,20.99153552888716,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-162.83056704173163,-16.604918511499612,10.129513917181251,26.729321402712397,19.6601338555816,1,54.0,0.0,133.0,0.0,0.0,0.0,53.0,53.0,0.0
7,-141.27418016169128,77.93008470958975,101.0745484684922,26.08966424100223,19.59068683924381,0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0
8,-89.04376425936776,-95.45025984346788,220.24951279227156,24.511240151649663,19.582577866180404,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-79.78528662789307,-63.67304718605296,133.4262601325146,25.126887332554254,19.481985241794757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-104.4300249039094,-150.59883619519738,45.92224651296141,25.74040243209447,19.43129131952007,0,4.0,0.0,17.0,0.0,0.0,0.0,4.0,4.0,0.0
11,-208.44283916312415,-128.87037801578262,150.25886063886327,26.070154846226696,19.42288659490717,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-60.460300837302704,49.60477623744576,148.9477634225524,23.043304737423032,19.348812233367404,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-94.13470201251806,-73.64342934510319,105.61672225725476,25.92190836058981,19.33053009916689,0,4.0,0.0,31.0,0.0,0.0,0.0,4.0,4.0,0.0
14,-225.0627520640288,17.24855631407466,176.73818977489512,25.512613841465832,19.250772278537507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-252.3337270577261,-25.19931742327108,195.67252922623368,23.674520532046778,19.218615689279616,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-261.1747473875276,-47.90044451162529,93.1700740400533,25.79334309166446,19.08383212663025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-228.385074000911,27.321167347100182,144.7504866583945,25.91864931692613,19.07650140670996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-78.34772564317966,82.91787394622867,21.045258100319355,25.321927864734526,18.96935839638235,0,251.0,19.0,539.0,0.0,0.0,0.0,246.0,246.0,0.0
19,-82.32338060322466,95.03144427095027,133.50486208859283,24.505713677921257,18.936478864982977,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-203.41349243019135,-163.8964585424709,175.9410665138221,24.25065127498952,18.87473661936337,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-91.9881259339831,-143.92723164913218,219.7093791707218,25.62356761704572,18.824988934766992,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-104.83230468785985,-144.16075669443026,189.31359325140448,24.440421057390772,18.6716705658166,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-218.92204607257776,59.94779186376224,144.95689135723364,25.555454710945508,18.437860431763088,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-195.56044087293145,-144.32301061026956,196.65929981460764,25.25199642307888,18.363992352119784,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-165.8637504517758,24.408763694252485,32.24215457187534,24.748318278990077,18.31472698265857,0,22.0,1.0,66.0,0.0,0.0,0.0,22.0,22.0,0.0
26,-142.6857530441663,49.851526819300574,190.2988845688077,23.64380020928636,18.291300079012707,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-222.1048488157049,184.3062919655334,131.60627880800743,23.05752144415672,18.265773941661596,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-164.74548384031016,-237.98311877527664,128.3213458550685,24.44844602962346,18.234962120246102,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
