label,mass_bin,Rmin_mpc,Rmax_mpc,n_Rbins_used,slope_bx_avg_per_dn4000,slope_bx_avg_err
FULL,9.5-9.8,0.2,2.0,6,0.3042456104267585,0.5460106485002961
FULL,9.8-10.1,0.2,2.0,6,-0.06670854679619682,0.38158947337192983
FULL,10.1-10.4,0.2,2.0,6,0.32797781611842713,0.2920940290242471
FULL,10.4-10.7,0.2,2.0,6,0.6870270583703447,0.26243141194076913
FULL,10.7-11.0,0.2,2.0,6,0.35643526912026574,0.29784794489425354
FULL,11.0-11.3,0.2,2.0,6,0.020419657234073164,0.5526866562249341
