RA,Dec,z,log_Mstar,log_SFR,log_sSFR,D4000_N,GroupID,Ngal,Rank,tempel_matched,mass_bin,age_tercile,dn4000_slice
157.0361785888672,-0.8537467122077942,0.0629910007119178,10.124077796936035,0.1507600992918014,-9.973317697644234,1.2854377031326294,999999,1,1,True,10.1-10.4,middle,3
157.22406005859375,-0.8313684463500977,0.1346383690834045,10.551609992980955,0.947110116481781,-9.604499876499176,1.228893160820007,999999,1,1,True,10.4-10.7,young,1
157.4168701171875,-0.0359752438962459,0.0949828848242759,10.550643920898438,0.5427901148796082,-10.00785380601883,1.2870550155639648,999999,1,1,True,10.4-10.7,young,2
157.3918914794922,-0.0573784783482551,0.1468786299228668,11.087486267089844,1.0959900617599487,-9.991496205329897,1.4389983415603638,999999,1,1,True,11.0-11.3,young,2
157.08299255371094,-0.5865649580955505,0.1090757325291633,10.567903518676758,0.6414300799369812,-9.926473438739777,1.3768678903579712,999999,1,1,True,10.4-10.7,middle,3
157.09536743164062,-0.652288556098938,0.1030284315347671,10.299537658691406,0.5980300903320312,-9.701507568359377,1.1709498167037964,999999,1,1,True,10.1-10.4,young,1
157.00599670410156,0.9668630957603456,0.1064720824360847,11.060224533081056,0.2086500972509384,-10.851574435830116,1.5125211477279663,999999,1,1,True,11.0-11.3,middle,3
157.39755249023438,0.4617989957332611,0.0509598888456821,9.941959381103516,0.2500400841236114,-9.691919296979904,1.2148791551589966,999999,1,1,True,9.8-10.1,young,2
157.3508758544922,0.2100929468870163,0.0940307825803756,10.636160850524902,0.3101500868797302,-10.326010763645172,1.4981112480163574,999999,1,1,True,10.4-10.7,old,4
157.46156311035156,0.3032720386981964,0.0719955116510391,10.406020164489746,0.2779600918292999,-10.128060072660446,1.4486734867095947,999999,1,1,True,10.4-10.7,old,4
157.2213592529297,0.1116449236869812,0.0951576828956604,11.072999000549316,0.5560300946235657,-10.51696890592575,1.5276210308074951,999999,1,1,True,11.0-11.3,middle,3
158.65953063964844,-0.8526542782783508,0.0737826898694038,10.436802864074709,0.9102200865745544,-9.526582777500153,1.200385332107544,999999,1,1,True,10.4-10.7,young,1
158.9284210205078,-0.7527192234992981,0.1156046316027641,10.950109481811523,0.1201300993561744,-10.829979382455347,2.0736961364746094,999999,1,1,True,10.7-11.0,old,5
159.207763671875,-0.6314440369606018,0.0635597556829452,10.08765697479248,0.0497400946915149,-10.037916880100964,1.2918946743011477,999999,1,1,True,9.8-10.1,middle,4
159.0337371826172,-0.6558191180229187,0.0635918006300926,9.932329177856444,0.2338200956583023,-9.698509082198145,1.155011534690857,999999,1,1,True,9.8-10.1,young,1
158.83120727539062,-0.8086645603179932,0.1240974515676498,10.090946197509766,0.950140118598938,-9.140806078910828,1.090431809425354,999999,1,1,True,9.8-10.1,young,1
159.0390625,-0.2038354724645614,0.0585414767265319,9.882081031799316,-0.987899899482727,-10.869980931282043,1.4794962406158447,999999,1,1,True,9.8-10.1,old,5
159.12680053710938,-0.5056124329566956,0.0846786201000213,10.893820762634276,0.1152600944042205,-10.778560668230057,1.74066162109375,999999,1,1,True,10.7-11.0,old,5
158.4768524169922,-1.0157902240753174,0.0818151012063026,10.026302337646484,0.2244000881910324,-9.801902249455452,1.2216811180114746,999999,1,1,True,9.8-10.1,young,2
158.49710083007812,-0.673083484172821,0.0740884467959404,10.13716983795166,-0.0964099019765853,-10.233579739928246,1.4292569160461426,999999,1,1,True,10.1-10.4,old,5
158.5313262939453,-0.6595180630683899,0.0651561766862869,9.949736595153809,0.3046600818634033,-9.645076513290403,1.1578069925308228,999999,1,1,True,9.8-10.1,young,1
158.99620056152344,-0.2061475813388824,0.0724791437387466,10.323177337646484,-0.0815999060869216,-10.404777243733406,1.3845456838607788,999999,1,1,True,10.1-10.4,old,4
158.9733428955078,-0.056495327502489,0.0584008060395717,9.525501251220703,-0.4491899013519287,-9.974691152572632,1.728058934211731,999999,1,1,True,9.5-9.8,old,5
158.18666076660156,-0.9961222410202026,0.0642354562878608,10.365262985229492,-0.2924599051475525,-10.657722890377045,1.5700899362564087,999999,1,1,True,10.1-10.4,old,5
158.2250213623047,-0.7005693316459656,0.1484485268592834,10.48106575012207,0.8174000978469849,-9.663665652275084,1.2860060930252075,999999,1,1,True,10.4-10.7,young,2
158.33111572265625,-0.6950430274009705,0.0854074209928512,10.427063941955566,0.6738600730895996,-9.753203868865969,1.2815824747085571,999999,1,1,True,10.4-10.7,young,2
158.5795440673828,-0.3424196243286133,0.1403765827417373,10.985753059387209,1.255600094795227,-9.73015296459198,1.3115955591201782,999999,1,1,True,10.7-11.0,young,1
157.950439453125,-0.970635175704956,0.0563876442611217,9.940596580505373,-0.2833499014377594,-10.22394648194313,1.3485888242721558,999999,1,1,True,9.8-10.1,old,4
158.03506469726562,-0.9373410940170288,0.0861810445785522,10.569561958312988,0.9093701243400574,-9.660191833972933,1.2905728816986084,999999,1,1,True,10.4-10.7,young,2
158.54673767089844,-0.4611395001411438,0.1154691651463508,10.774389266967772,0.0832100957632064,-10.691179171204569,1.601414918899536,999999,1,1,True,10.7-11.0,old,5
158.2528839111328,-0.3804278671741485,0.0551578775048255,10.979005813598633,0.5653901100158691,-10.413615703582764,1.5756269693374634,999999,1,1,True,10.7-11.0,old,4
158.237060546875,-0.1487767249345779,0.0943674594163894,10.486088752746582,-0.0064499033614993,-10.49253865610808,1.5008949041366575,999999,1,1,True,10.4-10.7,old,5
158.33258056640625,-0.6016073226928711,0.0505037270486354,10.89419174194336,0.3082000911235809,-10.585991650819778,1.443488597869873,999999,1,1,True,10.7-11.0,middle,3
158.1945037841797,-0.1577536463737487,0.1074671819806099,10.979933738708496,0.3155201077461242,-10.664413630962372,1.604580283164978,999999,1,1,True,10.7-11.0,old,5
158.1304473876953,-0.1065760180354118,0.0651017501950264,10.19040870666504,-0.6997098922729492,-10.890118598937988,1.6134439706802368,999999,1,1,True,10.1-10.4,old,5
157.9348602294922,-0.0183149110525846,0.0869833603501319,10.058846473693848,0.3637400865554809,-9.695106387138368,1.2612972259521484,999999,1,1,True,9.8-10.1,middle,3
158.0721435546875,-0.3293277621269226,0.0558243319392204,10.84518814086914,0.6951900720596313,-10.14999806880951,1.3882498741149902,999999,1,1,True,10.7-11.0,young,2
158.013916015625,-0.2059408128261566,0.0908452868461608,10.53461456298828,0.7177001237869263,-9.816914439201357,1.2459379434585571,999999,1,1,True,10.4-10.7,young,1
157.55349731445312,-0.9455819725990297,0.0879459902644157,10.46069049835205,0.0725000947713851,-10.388190403580666,1.5614745616912842,999999,1,1,True,10.4-10.7,old,5
157.81639099121094,-0.6299640536308289,0.08578822016716,10.05339813232422,0.513870120048523,-9.539528012275696,1.1556904315948486,999999,1,1,True,9.8-10.1,young,1
157.664306640625,-0.3104354739189148,0.1073523759841919,10.086577415466309,0.6105300784111023,-9.476047337055206,1.1264572143554688,999999,1,1,True,9.8-10.1,young,1
157.52935791015625,-0.1761981546878814,0.0739638209342956,9.964204788208008,0.0486300960183143,-9.915574692189692,1.3070672750473022,999999,1,1,True,9.8-10.1,middle,4
157.5436553955078,-0.3242959380149841,0.0976944491267204,10.197958946228027,0.2708900868892669,-9.92706885933876,1.2196640968322754,999999,1,1,True,10.1-10.4,young,2
157.54922485351562,-0.4588830173015594,0.0854108333587646,10.358455657958984,0.5010800957679749,-9.85737556219101,1.297593116760254,999999,1,1,True,10.1-10.4,middle,3
157.7516632080078,-0.6275929808616638,0.0559043921530246,9.921675682067873,0.2037500888109207,-9.71792559325695,1.2287464141845703,999999,1,1,True,9.8-10.1,middle,2
157.53277587890625,-0.5681960582733154,0.1074429899454116,10.795769691467283,0.5492801070213318,-10.246489584445952,1.4242881536483765,999999,1,1,True,10.7-11.0,middle,2
157.51156616210938,-0.6693925261497498,0.1299185007810592,10.64287281036377,0.7483900785446167,-9.894482731819153,1.2740821838378906,999999,1,1,True,10.4-10.7,young,1
157.2396697998047,-0.1303004771471023,0.0718133375048637,9.601644515991213,0.1140400916337966,-9.487604424357414,1.2277086973190308,999999,1,1,True,9.5-9.8,middle,3
157.4168701171875,-0.0359752438962459,0.0950033441185951,10.550796508789062,0.5397800803184509,-10.011016428470612,1.2104315757751465,999999,1,1,True,10.4-10.7,young,1
157.19252014160156,-0.3719215989112854,0.0947443842887878,10.95612621307373,0.7015700936317444,-10.254556119441986,1.380189299583435,999999,1,1,True,10.7-11.0,young,2
157.52236938476562,-0.4828364551067352,0.0888080820441246,10.320626258850098,0.1343901008367538,-10.186236158013344,1.4286165237426758,999999,1,1,True,10.1-10.4,old,5
157.0495147705078,-0.921723246574402,0.0559327527880668,10.23866081237793,-0.1518099009990692,-10.390470713377,1.4881260395050049,999999,1,1,True,10.1-10.4,old,5
157.3482666015625,1.1629616022109983,0.0972870439291,10.063398361206056,0.3985700905323028,-9.664828270673752,1.2154031991958618,999999,1,1,True,9.8-10.1,young,2
157.3007049560547,1.113902568817139,0.1486533880233764,10.668500900268556,0.9391900897026062,-9.729310810565948,1.3821086883544922,999999,1,1,True,10.4-10.7,middle,3
157.39456176757812,0.805307149887085,0.0511510483920574,10.339780807495115,-0.3980998992919922,-10.73788070678711,1.5905605554580688,999999,1,1,True,10.1-10.4,old,5
157.39503479003906,1.2126818895339966,0.1460147053003311,10.85747241973877,1.0729800462722778,-9.784492373466492,1.5868948698043823,999999,1,1,True,10.7-11.0,old,4
157.44635009765625,0.4508997499942779,0.1470157206058502,10.90607452392578,0.3092901110649109,-10.59678441286087,1.5583068132400513,999999,1,1,True,10.7-11.0,old,4
157.219482421875,0.4571826457977295,0.0946167707443237,11.19241428375244,0.5513401031494141,-10.641074180603027,1.6775734424591064,999999,1,1,True,11.0-11.3,old,5
157.5783233642578,1.2472466230392456,0.0507545620203018,9.65415382385254,-0.0614299066364765,-9.715583730489016,1.257224678993225,999999,1,1,True,9.5-9.8,middle,4
157.66673278808594,1.0205886363983154,0.1308496296405792,11.084224700927734,1.0058101415634155,-10.07841455936432,1.3320326805114746,999999,1,1,True,11.0-11.3,young,1
157.50990295410156,0.8739808797836304,0.1182064712047576,10.285873413085938,0.6207500696182251,-9.665123343467712,1.12568199634552,999999,1,1,True,10.1-10.4,young,1
157.59695434570312,0.9689865708351136,0.0888148471713066,10.619444847106934,0.0613800920546054,-10.558064755052328,1.558247447013855,999999,1,1,True,10.4-10.7,old,5
157.75152587890625,0.5752972960472107,0.0945482850074768,10.26662540435791,0.2912501096725464,-9.975375294685364,1.203383207321167,999999,1,1,True,10.1-10.4,young,1
157.50686645507812,0.5513924956321716,0.1177109703421592,10.844873428344728,1.086150050163269,-9.758723378181458,1.4334402084350586,999999,1,1,True,10.7-11.0,middle,2
157.65721130371094,0.4910860657691955,0.1467734277248382,11.165605545043944,0.8282601237297058,-10.33734542131424,1.4720861911773682,999999,1,1,True,11.0-11.3,young,2
157.54580688476562,0.0104905469343066,0.1096850633621215,10.530280113220217,1.0957801342010498,-9.434499979019163,1.1728423833847046,999999,1,1,True,10.4-10.7,young,1
157.8636016845703,0.7684683799743652,0.0955898091197013,10.608720779418944,0.3652600944042206,-10.243460685014725,1.4603164196014404,999999,1,1,True,10.4-10.7,old,4
158.05575561523438,1.2283873558044434,0.1274084895849228,10.484968185424805,0.8570700883865356,-9.627898097038267,1.226296067237854,999999,1,1,True,10.4-10.7,young,1
158.01097106933594,0.8371730446815491,0.0993491485714912,10.99654483795166,0.1026400923728942,-10.893904745578766,1.663628339767456,999999,1,1,True,10.7-11.0,old,5
157.8701171875,0.2485314756631851,0.1305564045906067,10.984707832336426,1.115470051765442,-9.869237780570984,1.334168553352356,999999,1,1,True,10.7-11.0,young,1
157.91212463378906,0.1239567324519157,0.1427176743745803,10.818554878234863,1.127920150756836,-9.690634727478027,1.2372347116470337,999999,1,1,True,10.7-11.0,young,1
158.0901641845703,0.5995550751686096,0.0948792695999145,10.359922409057615,0.2137500941753387,-10.146172314882278,1.3873964548110962,999999,1,1,True,10.1-10.4,old,4
158.14268493652344,0.3509864807128906,0.1192945390939712,10.645219802856444,0.5089200735092163,-10.136299729347227,1.4535056352615356,999999,1,1,True,10.4-10.7,old,4
158.19114685058594,0.152743250131607,0.0654288902878761,10.108988761901855,0.1828200817108154,-9.92616868019104,1.2814278602600098,999999,1,1,True,10.1-10.4,middle,3
158.23910522460938,0.0400751382112503,0.0721684247255325,10.304121017456056,0.6771700978279114,-9.626950919628143,1.249997615814209,999999,1,1,True,10.1-10.4,young,2
158.3583526611328,0.5359236001968384,0.0510845854878425,9.953523635864258,0.2267801016569137,-9.726743534207344,1.251368284225464,999999,1,1,True,9.8-10.1,middle,3
158.39137268066406,0.0880013331770896,0.0852827206254005,10.04019546508789,0.2536600828170776,-9.786535382270811,1.345568299293518,999999,1,1,True,9.8-10.1,old,4
158.41758728027344,0.1990399956703186,0.087471604347229,10.343253135681152,0.2601501047611236,-10.083103030920029,1.409279465675354,999999,1,1,True,10.1-10.4,old,4
158.33212280273438,0.4161970615386963,0.0974844694137573,10.509453773498535,-0.049509909003973,-10.558963682502508,1.3880863189697266,999999,1,1,True,10.4-10.7,middle,3
158.3881072998047,1.1097676753997805,0.0657476559281349,10.83926010131836,1.4664801359176636,-9.372779965400696,1.343084454536438,999999,1,1,True,10.7-11.0,young,1
158.15652465820312,1.0405441522598269,0.1342711299657821,11.110779762268066,0.2465400993824005,-10.864239662885666,1.681832790374756,999999,1,1,True,11.0-11.3,old,5
158.2595977783203,0.6304329633712769,0.1177771314978599,10.236474990844728,0.525610089302063,-9.710864901542664,1.398109793663025,999999,1,1,True,10.1-10.4,old,4
158.07528686523438,0.8050180673599243,0.1209314167499542,10.679614067077637,0.5873301029205322,-10.092283964157104,1.4414335489273071,999999,1,1,True,10.4-10.7,old,4
158.51809692382812,0.4384924471378326,0.06583022326231,9.812243461608888,-0.5294299125671387,-10.341673374176024,1.4345190525054932,999999,1,1,True,9.8-10.1,old,5
158.48460388183594,1.1290080547332764,0.0952759981155395,10.445332527160645,0.2076600939035415,-10.237672433257105,1.386032223701477,999999,1,1,True,10.4-10.7,middle,3
158.53201293945312,0.8934692144393921,0.1166528612375259,10.547138214111328,0.2917800843715668,-10.25535812973976,1.4613685607910156,999999,1,1,True,10.4-10.7,old,4
158.44894409179688,1.2338820695877075,0.1281535625457763,10.599562644958496,0.7814701199531555,-9.81809252500534,1.3072726726531982,999999,1,1,True,10.4-10.7,young,2
158.4706268310547,0.9280331134796144,0.0720370188355445,9.693867683410645,0.4426600933074951,-9.25120759010315,1.1461994647979736,999999,1,1,True,9.5-9.8,young,1
158.6115264892578,0.67054283618927,0.1017604991793632,10.629060745239258,0.3972800970077514,-10.231780648231506,1.3979835510253906,999999,1,1,True,10.4-10.7,middle,3
158.47442626953125,1.1175462007522583,0.1302869468927383,10.572969436645508,0.7028501033782959,-9.870119333267212,1.291566252708435,999999,1,1,True,10.4-10.7,young,2
158.66993713378906,0.3545704782009125,0.0968083664774894,10.41012191772461,0.0165000967681407,-10.393621820956469,1.523421049118042,999999,1,1,True,10.4-10.7,old,5
158.68310546875,0.162924125790596,0.0647225230932235,10.21075439453125,-0.3513399064540863,-10.562094300985336,1.4777607917785645,999999,1,1,True,10.1-10.4,old,5
158.91273498535156,0.0557907149195671,0.0656142681837081,9.579532623291016,0.2032400965690612,-9.376292526721954,1.2236090898513794,999999,1,1,True,9.5-9.8,middle,3
158.8025360107422,0.0229231175035238,0.0969530493021011,10.604971885681152,0.1894200891256332,-10.41555179655552,1.543043613433838,999999,1,1,True,10.4-10.7,old,5
158.83497619628906,0.7180395722389221,0.069495290517807,9.92171573638916,-0.75506991147995,-10.67678564786911,1.5664938688278198,999999,1,1,True,9.8-10.1,old,5
158.8749237060547,1.0093605518341064,0.1171440184116363,10.758374214172363,0.1562000960111618,-10.6021741181612,1.7603274583816528,999999,1,1,True,10.7-11.0,old,5
