label,mass_bin,R_mpc,n_slices_used,slope_b_per_dn4000,slope_b_err,intercept_a,intercept_a_err,chi2,dof,chi2_pvalue
FULL,9.5-9.8,0.0605763829314294,5,13.608450860944806,23.02384344261152,-68.00235316706677,75.96453926838566,1.387237494495295,3,0.7085290416974777
FULL,9.5-9.8,0.0889139705019461,5,-9.05062636029278,16.032326077347864,53.799795398389115,53.6495116416048,6.587780985834544,3,0.0862641848896352
FULL,9.5-9.8,0.1305078607841268,5,-13.2663303128397,10.646495578665682,13.917413710769258,35.513258446107734,6.2046733900345075,3,0.10206609716154197
FULL,9.5-9.8,0.1915593424778643,5,-6.51128320962309,7.2051901314235565,12.935832545686061,24.09227882660801,2.887943277487111,3,0.40922673503797125
FULL,9.5-9.8,0.2811706625951745,5,7.629941856368333,5.054538767844964,-23.842160212278717,16.930750249381763,2.6710706531561206,3,0.4451659413456752
FULL,9.5-9.8,0.4127020926340091,5,0.5924198429255892,3.433553186814431,-4.459883803502244,11.44999494654908,1.3566975017653027,3,0.715715712910005
FULL,9.5-9.8,0.6057638293142941,5,-0.684645218050143,2.324592834382735,0.9095143290316239,7.744748396433165,1.5748700619721743,3,0.6651011917365977
FULL,9.5-9.8,0.8891397050194609,5,-1.7185078223462922,1.582711449102392,5.750040467931333,5.282002986520621,5.042813170951112,3,0.16868886361307786
FULL,9.5-9.8,1.3050786078412682,5,-0.5156856449159073,1.0845169174096545,2.467489553110356,3.6052680153314287,2.097814108108808,3,0.5523551107292852
FULL,9.5-9.8,1.9155934247786437,5,-1.0381087607723398,0.7462210948121571,1.9918097028325668,2.4823957675920223,4.852764004278076,3,0.18290146656256784
FULL,9.5-9.8,2.8117066259517443,5,-0.37056551767597495,0.5115757280806724,0.02842252009392374,1.7017098578028877,7.355712928573219,3,0.06138403657818039
FULL,9.5-9.8,4.127020926340092,5,0.6814787850357242,0.35437276270026485,-1.594903610339592,1.1832608061004155,3.9695822762129986,3,0.2647674829005961
FULL,9.8-10.1,0.0605763829314294,5,-1.519068177089957,16.26263309267949,-4.638025688840088,54.06774914666495,5.276939338159764,3,0.15260578108956785
FULL,9.8-10.1,0.0889139705019461,5,3.7291468968133303,11.12469999447718,14.87550305926956,36.68391615359371,1.4149280462851406,3,0.7020392753039195
FULL,9.8-10.1,0.1305078607841268,5,-6.34752267942674,7.543803670715198,33.56113721420042,25.173220871249782,7.522009645132002,3,0.056995618754074565
FULL,9.8-10.1,0.1915593424778643,5,4.364887919723229,5.113554013986202,-0.44113822649684875,17.075158753153044,1.0877662786052313,3,0.7800281434204022
FULL,9.8-10.1,0.2811706625951745,5,-7.603472348786628,3.4948032547007597,27.356557505530883,11.613408135807049,4.218503372807869,3,0.23881586374037334
